ID,Group,Gender,Age,Education,Condition,MinAl,MinNonAl,CV,Lags,NTrials,RobustCV,QCV
01_42_MN,1,1,30,17,2,-6.38417567755731,-5.8901183090986,2.79368739203312,191.844451121795,156,0.03125,0.0153846153846154
01_42_MN,1,1,30,17,4,-6.49773727855352,-4.82341844596986,6.4791167414693,192.835988562092,153,0.0707070707070707,0.0351758793969849
01_43_QG,1,2,26,14,1,-4.60809295950414,-3.47366892503702,4.3876260831204,219.901179635762,151,0.0990990990990991,0.0488888888888889
01_43_QG,1,2,26,14,3,-2.78788694068908,-2.07584571786603,4.4359530150446,194.207974137931,145,0.0980392156862745,0.0505050505050505
01_43_QG,1,2,26,14,2,-3.70320436665458,-2.17359572573301,7.19154296073657,215.887200342466,146,0.055045871559633,0.0267857142857143
01_43_QG,1,2,26,14,4,-4.69830658938331,-3.05616350763292,12.3462736179115,236.965314716312,141,0.12396694214876,0.0643776824034335
01_44_KN,1,1,47,16,1,-3.48057561466934,-1.00261443355911,22.5943878257543,195.096895292208,154,0.357142857142857,0.174129353233831
01_44_KN,1,1,47,16,3,-2.20543887531173,-0.180399614532423,19.3136429235719,189.06747611465,157,0.276595744680851,0.142857142857143
01_44_KN,1,1,47,16,2,-2.80021239409285,-1.10953238029993,17.6126472113737,173.701298701299,154,0.348837209302326,0.170454545454545
01_44_KN,1,1,47,16,4,-4.1841594670736,-0.558325440915026,19.1825064297484,141.469254032258,155,0.397058823529412,0.186206896551724
01_45_KK,1,2,28,9,1,-2.14138890520114,-1.62449391508831,4.86539953578988,193.162548449612,129,0,0
01_45_KK,1,2,28,9,3,-3.16016928332832,-2.07266489482002,21.9277369804867,160.183758802817,142,0.293333333333333,0.134146341463415
01_45_KK,1,2,28,9,2,-2.93733619946477,-1.85244186570363,20.8954835297967,198.094223484848,132,0.177777777777778,0.0842105263157895
01_45_KK,1,2,28,9,4,-2.94213678549305,-1.28521150199649,19.1841604633435,162.13919370229,131,0.479452054794521,0.2
01_46_KR,1,2,55,10,1,-3.18756876639,-2.6125201447696,4.54233214380829,232.283266129032,155,0.0847457627118644,0.0420168067226891
01_46_KR,1,2,55,10,3,-2.89722195856464,-1.56231316962589,24.4555037032704,174.497003424658,146,0.197530864197531,0.0898876404494382
